#EventID|Time|Latitude|Longitude|Depth/km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|EventType
gfz2023jcdk|2023-05-10T05:49:15.38|51.516000|16.078000|1.0|||GFZ|gfz2023jcdk|MLv|3.56||Poland|
gfz2023jbcu|2023-05-09T16:23:32.22|51.919000|16.530000|1.0|||GFZ|gfz2023jbcu|ML|3.2||Poland|
gfz2023iujg|2023-05-05T23:41:16.96|51.600000|16.255000|1.0|||GFZ|gfz2023iujg|ML|3.1||Poland|
gfz2023irxd|2023-05-04T15:16:56.74|51.635000|16.058000|10.0|||GFZ|gfz2023irxd|M|3.47||Poland|
gfz2023iiuh|2023-04-29T15:37:20.31|51.432000|15.944000|10.0|||GFZ|gfz2023iiuh|M|3.61||Poland|
gfz2023gwgv|2023-04-08T13:39:19.73|51.632000|16.047000|10.0|||GFZ|gfz2023gwgv|M|3.5||Poland|
gfz2023fthz|2023-03-23T17:18:04.07|51.458000|15.846000|10.0|||GFZ|gfz2023fthz|M|3.45||Poland|
gfz2023fkcl|2023-03-18T16:16:31.13|51.588000|16.091000|10.0|||GFZ|gfz2023fkcl|M|3.66||Poland|
gfz2023fjae|2023-03-18T02:03:37.91|51.563000|16.305000|1.0|||GFZ|gfz2023fjae|ML|2.94||Poland|
gfz2023cpyt|2023-02-07T04:36:54.42|51.612000|16.186000|1.0|||GFZ|gfz2023cpyt|ML|3.63||Poland|
gfz2023blcc|2023-01-21T07:05:13.6|51.429000|16.073000|10.0|||GFZ|gfz2023blcc|M|3.03||Poland|
gfz2023bjcv|2023-01-20T05:10:54.47|51.447000|15.840000|10.0|||GFZ|gfz2023bjcv|M|3.27||Poland|
gfz2023agke|2023-01-04T11:57:20.52|51.171000|16.011000|10.0|||GFZ|gfz2023agke|M|3.83||Poland|
gfz2023afgt|2023-01-03T21:05:03.37|51.450000|15.926000|10.0|||GFZ|gfz2023afgt|M|3.78||Poland|
gfz2023aehp|2023-01-03T08:23:20.6|51.609000|16.099000|1.0|||GFZ|gfz2023aehp|MLv|3.73||Poland|
gfz2022zavh|2022-12-23T05:08:59.99|51.524000|16.056000|5.0|||GFZ|gfz2022zavh|MLv|3.19||Poland|
